Date,Issuer,Coupon,Maturity,Spread,Curr,Outst,Book Mgr,Note,Identifier
04/20,CARGILL INC,1.375,07/23/23,+115,USD,750,JOINT LEADS,144A 99.896,BI002125 Corp
04/20,SONOCO PRODUCTS,3.125,05/01/30,+250,USD,600,JOINT LEADS,10C CONT,BI003913 Corp
04/20,FREDDIE MAC,1.000,10/28/25,,USD,25,AP-sole,5.5-NC1 BERM,BI016546 Corp
04/20,FREDDIE MAC,0.700,04/27/23,,USD,95,JOINT LEADS,3-NC6MO  INC,BI010840 Corp
04/20,FREDDIE MAC,1.020,04/23/25,,USD,50,FHN-sole,5-NC6MO  INC,BH933271 Corp
04/20,FREDDIE MAC,0.625,04/27/23,,USD,25,FHN-sole,3-NC6MO 1X,BI016456 Corp
04/20,FREDDIE MAC,1.000,01/27/25,,USD,30,JOINT LEADS,4.75-NC6MBER,BI014937 Corp
04/20,FREDDIE MAC,0.750,04/28/25,,USD,25,DADA-sole,5-NC1 1X,BI014368 Corp
04/20,FREDDIE MAC,1.050,04/23/25,,USD,125,"INCAP,STFL",5-NC6MO  INC,BH933756 Corp
04/20,FREDDIE MAC,0.750,07/27/23,,USD,35,JOINT LEADS,3.25-NC6MBER,BI011020 Corp
04/20,FREDDIE MAC,0.900,04/22/24,,USD,25,"FCS,SUN",4-NC6MO BERM,BI009685 Corp
04/20,FREDDIE MAC,0.550,10/21/22,,USD,50,FHN-sole,2.5-NC6MOINC,BH933244 Corp
04/20,FED FARM CREDIT,1.460,04/27/27,,USD,270,"FHN,JPM,MS",7-NC3MO CONT,BI007114 Corp
04/20,FED FARM CREDIT,1.440,04/27/28,,USD,80,JOINT LEADS,8-NC1 CONT,BI007052 Corp
04/20,FED HOME LN BANK,1.400,04/23/27,,USD,80,JOINT LEADS,7-NC6MO  INC,BH850424 Corp
04/19,AFRICAN DEV BANK,FRN,12/15/21,,USD,750,SCOTIA-sole,INCREASE,ZP499013 Corp
04/17,AMC ENTMNT HOLDI,10.500,04/15/25,+1067,USD,500,JOINT LEADS,5C CONT 144A,BH961214 Corp
04/17,FORD MOTOR CO,9.625,04/22/30,,USD,1000,JOINT LEADS,10C CONT,BH962217 Corp
04/17,FORD MOTOR CO,9.000,04/22/25,,USD,3.5B,JOINT LEADS,5C CONT,BH962214 Corp
04/17,FORD MOTOR CO,8.500,04/21/23,,USD,3.5B,JOINT LEADS,04/22/20,BH962211 Corp
04/17,BANK OF NY MELLO,1.600,04/24/25,+125,USD,1.25B,JOINT LEADS,5C CONT MTN,BH961746 Corp
04/17,FARMER MAC,0.680,04/28/25,,USD,10,INCAP-sole,5-NC,BH976316 Corp
04/17,INTERAMER DEV BK,0.500,05/24/23,,USD,4.25B,JOINT LEADS,04/24/20,BH912857 Corp
04/17,EXPORT DEV CAN,FRN,04/28/22,,USD,250,SCOTIA,04/28/20,BH968917 Corp
04/17,FREDDIE MAC,0.875,01/27/25,,USD,25,"BNYM,WFS",4.75-NC9MBER,BH968081 Corp
04/17,FED FARM CREDIT,1.800,10/24/29,,USD,80,JOINT LEADS,9.5-NC3MCONT,BH966435 Corp
04/17,FREDDIE MAC,0.800,01/29/24,,USD,25,WFS-sole,3.75-NC6MBER,BH964830 Corp
04/17,FREDDIE MAC,0.375,04/20/23,+22,USD,3B,JOINT LEADS,04/20/20,BH917890 Corp
04/17,FREDDIE MAC,0.600,10/26/22,,USD,25,WFS-sole,2.5-NC6MBERM,BH962761 Corp
04/17,CREE INC,1.750,05/01/26,,USD,575,JOINT LEADS,04/21/20,BH922181 Corp
04/17,EXP-IMP BK KOREA,FRN,07/24/25,,USD,50,STAN,04/24/20,BH955396 Corp
04/16,REPUBLIC OF PERU,2.783,01/23/31,,USD,2B,JOINT LEADS,11C CONT,BH916164 Corp
04/16,REPUBLIC OF PERU,2.392,01/23/26,,USD,1000,JOINT LEADS,6C CONT,BH916163 Corp
04/16,HILTON DOMESTIC,5.750,05/01/28,+524,USD,500,JOINT LEADS,8C CONT 144A,BH940919 Corp
04/16,HILTON DOMESTIC,5.375,05/01/25,+503,USD,500,JOINT LEADS,5C CONT 144A,BH914636 Corp
04/16,COSTCO COMPANIES,1.375,06/20/27,+90,USD,1.25B,JOINT LEADS,7C CONT,BH914049 Corp
04/16,COSTCO COMPANIES,1.750,04/20/32,+115,USD,1000,JOINT LEADS,12C CONT,BH914055 Corp
04/16,COSTCO COMPANIES,1.600,04/20/30,+100,USD,1.75B,JOINT LEADS,10C CONT,BH914053 Corp
04/16,CHANGE HLD / FIN,5.750,03/01/25,+336,USD,1.33B,JOINT LEADS,INCREASE,AM342846 Corp
04/16,NATIONAL SECS CL,1.200,04/23/23,+100,USD,1000,JOINT LEADS,144A 99.906,BH914432 Corp
04/16,NATIONAL SECS CL,1.500,04/23/25,+120,USD,1000,JOINT LEADS,5C CONT 144A,BH916321 Corp
04/16,CDW LLC/CDW FIN,4.125,05/01/25,+380,USD,600,JOINT LEADS,5C CONT,BH915130 Corp
04/16,CAMDEN PROP TRST,2.800,05/15/30,+220,USD,750,JOINT LEADS,10C CONT,BH914561 Corp
04/16,FED FARM CREDIT,0.800,04/22/24,,USD,200,JOINT LEADS,4-NC1 CONINC,BH917925 Corp
04/16,FARMER MAC,1.170,04/23/27,,USD,15,"INCAP,VS",7-NC4 1X,BH923054 Corp
04/16,EUROPEAN INVT BK,0.625,07/25/25,,USD,3B,JOINT LEADS,04/23/20,BH841270 Corp
04/16,FED HOME LN BANK,0.600,04/28/23,,USD,60,JPM-sole,3-NC1 CONT,BH920120 Corp
04/16,FED HOME LN BANK,2.400,04/23/40,,USD,8,INCAP-sole,20-NC1 CONT,BH919911 Corp
04/16,FED FARM CREDIT,0.500,04/23/24,,USD,150,JOINT LEADS,4-NC,BH918985 Corp
04/16,FED FARM CREDIT,2.440,04/23/40,,USD,105,"JPM,MS",20-NC1 CONT,BH917834 Corp
04/16,FED FARM CREDIT,0.980,04/24/24,,USD,465,"FHN,JPM,MS",4-NC3MO CONT,BH917729 Corp
04/16,FED FARM CREDIT,1.440,04/22/30,,USD,85,JOINT LEADS,10-NC5 CONT,BH917626 Corp
04/16,FED HOME LN BANK,1.750,04/23/30,,USD,38,FHN-sole,10-NC1   INC,BH850978 Corp
04/16,ASIAN DEV BANK,FRN,12/15/21,,USD,3.9B,CITI,INCREASE,EK648637 Corp
04/15,CLEVELAND-CLIFFS,9.875,10/17/25,+1085.3,USD,955.16,CS-sole,6C CONT 144A,BH845045 Corp
04/15,SAUDI INT BOND,4.500,04/22/60,+327,USD,3B,JOINT LEADS,144A 99.083,BH829620 Corp
04/15,SAUDI INT BOND,2.900,10/22/25,+260,USD,2.5B,JOINT LEADS,144A 99.808,BH829699 Corp
04/15,SAUDI INT BOND,3.250,10/22/30,+270,USD,1.5B,JOINT LEADS,144A 99.252,BH829642 Corp
04/15,SIX FLAGS THEME,7.000,07/01/25,,USD,725,JOINT LEADS,5C CONT 144A,BH841631 Corp
04/15,JPMORGAN CHASE,VAR,04/22/51,+185,USD,2.25B,JPM,31C BERM,BH840822 Corp
04/15,JPMORGAN CHASE,VAR,04/22/41,+185,USD,1.5B,JPM,21C BERM,BH840821 Corp
04/15,JPMORGAN CHASE,VAR,04/22/26,+175,USD,3.5B,JPM,6C BERM,BH840818 Corp
04/15,JPMORGAN CHASE,VAR,04/22/31,+190,USD,2.75B,JPM,11C BERM,BH840819 Corp
04/15,ENERGIZER HLDGS,6.375,07/15/26,+346,USD,750,JOINT LEADS,INCREASE,AT097553 Corp
04/15,LYB INT FIN III,3.375,05/01/30,+275,USD,500,JOINT LEADS,10C CONT,BH844786 Corp
04/15,LYB INT FIN III,2.875,05/01/25,+255,USD,500,JOINT LEADS,5C CONT,BH844784 Corp
04/15,LYB INT FIN III,4.200,05/01/50,+295,USD,1000,JOINT LEADS,30C CONT,BH844787 Corp
04/15,ROYAL BK CANADA,1.600,04/17/23,+138,USD,1.25B,JOINT LEADS,GMTN 99.936,BH843345 Corp
04/15,HAT HOLDINGS I,6.000,04/15/25,,USD,400,JOINT LEADS,5C CONT 144A,BH844758 Corp
04/15,INT BK RECON&DEV,0.625,04/22/25,+36.5,USD,8B,JOINT LEADS,04/22/20,BH800056 Corp
04/15,FARMER MAC,1.500,04/22/30,,USD,21,BB&T-sole,10-NC5   INC,BH851033 Corp
04/15,FREDDIE MAC,1.150,04/17/25,,USD,75,"DAIWA,INCAP",5-NC3MO  INC,BH860063 Corp
04/15,FREDDIE MAC,1.000,01/21/25,,USD,25,"BB&T,RBCCM",4.75-NC6MBER,BH860327 Corp
04/15,FARMER MAC,1.050,04/21/25,,USD,5,VS-sole,5-NC6MO BERM,BH860021 Corp
04/15,FARMER MAC,0.420,04/04/22,,USD,115,BofA-sole,04/20/20,BH859338 Corp
04/15,FREDDIE MAC,0.750,07/20/23,,USD,25,WFS-sole,3.25-NC6MBER,BH853617 Corp
04/15,FREDDIE MAC,0.650,10/20/22,,USD,25,WFS-sole,2.5-NC6MBERM,BH853276 Corp
04/15,FED HOME LN BANK,0.500,04/14/25,+26,USD,1.5B,JOINT LEADS,04/16/20,BH814915 Corp
04/15,FED HOME LN BANK,2.200,04/23/35,,USD,15,CF-sole,15-NC6MOCONT,BH850449 Corp
04/15,FERRELLGAS LP,10.000,04/15/25,+955,USD,700,JPM-sole,INCREASE,BH718893 Corp
04/15,FED FARM CREDIT,0.840,04/21/23,,USD,395,JOINT LEADS,3-NC3MO CONT,BH848568 Corp
04/15,FED FARM CREDIT,0.580,04/22/22,,USD,285,JOINT LEADS,2-NC6MO CONT,BH848551 Corp
04/15,FED HOME LN BANK,2.600,04/28/45,,USD,25,MSRW-sole,25-NC1   INC,BH820279 Corp
04/15,DICK'S SPORTING,3.250,04/15/25,,USD,575,BofA,04/17/20,BH841268 Corp
04/15,COHERUS BIOSCIEN,1.500,04/15/26,,USD,230,JOINT LEADS,04/17/20,BH840734 Corp
04/14,LEVI STRAUSS,5.000,05/01/25,+446,USD,500,"BofA,GS,JPM",5C CONT 144a,BH827909 Corp
04/14,PETRONAS CAP LTD,3.500,04/21/30,+290,USD,2.25B,JOINT LEADS,10C CONT,BH786937 Corp
04/14,KKR GR FIN CO,3.750,07/01/29,+170,USD,750,JOINT LEADS,INCREASE,AZ198632 Corp
04/14,PETRONAS CAP LTD,4.800,04/21/60,+339.2,USD,1000,JOINT LEADS,40C CONT,BH787222 Corp
04/14,PETRONAS CAP LTD,4.550,04/21/50,+314.2,USD,2.75B,JOINT LEADS,30C CONT,BH787052 Corp
04/14,SPIRIT AEROSYSTE,7.500,04/15/25,+707,USD,1.2B,JOINT LEADS,5C CONT 144A,BH798316 Corp
04/14,SANTANDER MEXICO,5.375,04/17/25,+495.5,USD,1.75B,JOINT LEADS,144A,BH805781 Corp
04/14,UBS AG LONDON,1.750,04/21/22,+160,USD,2.5B,UBS-sole,2C CONT 144A,BH799235 Corp
04/14,FREDDIE MAC,1.000,04/21/25,,USD,25,"BB&T,RBCCM",5-NC9MO BERM,BH823704 Corp
04/14,BARCLAYS BK PLC,3.600,04/15/30,,USD,9,BCLY-sole,10C 6MBERM,BH576904 Corp
04/14,FREDDIE MAC,0.600,04/14/22,,USD,100,FHN-sole,2-NC6MO BERM,BH822427 Corp
04/14,DXC TECH CO,4.125,04/15/25,+375,USD,500,JOINT LEADS,5C CONT,BH801261 Corp
04/14,DXC TECH CO,4.000,04/15/23,+375,USD,500,JOINT LEADS,04/21/20,BH801254 Corp
04/14,PRES & FELLOWS,2.517,10/15/50,+110,USD,500,"GS,JPM,WFS",30C CONT,BH786383 Corp
04/14,BANK NOVA SCOTIA,1.625,05/01/23,+140,USD,1.25B,JOINT LEADS,04/16/20,BH797785 Corp
04/14,MARRIOTT INTL,5.750,05/01/25,,USD,1.6B,JOINT LEADS,5C CONT EE,BH800961 Corp
04/14,CHARTER COMM OPT,2.800,04/01/31,+210,USD,1.6B,JOINT LEADS,11C CONT,BH801970 Corp
04/14,CHARTER COMM OPT,3.700,04/01/51,+235,USD,1.4B,JOINT LEADS,31C CONT,BH801977 Corp
04/14,USAA CAP CORP,2.125,05/01/30,+140,USD,400,JOINT LEADS,10C CONT,BH801859 Corp
04/14,USAA CAP CORP,1.500,05/01/23,+125,USD,400,JOINT LEADS,04/21/20,BH801856 Corp
04/14,VALERO ENERGY,2.700,04/15/23,+245,USD,850,JOINT LEADS,04/16/20,BH800310 Corp
04/14,VALERO ENERGY,2.850,04/15/25,+245,USD,650,JOINT LEADS,5C CONT,BH800313 Corp
04/14,FREDDIE MAC,0.700,04/21/25,,USD,25,"FCS,VS",5-NC1 1X,BH819430 Corp
04/14,FED HOME LN BANK,1.720,04/27/28,,USD,170,JOINT LEADS,INCREASE,BH786172 Corp
04/14,FED HOME LN BANK,0.600,07/27/22,,USD,200,JOINT LEADS,2.25-NC1 INC,BH808087 Corp
04/14,FARMER MAC,2.000,04/22/30,,USD,20,CF-sole,10-NC6MO INC,BH811233 Corp
04/14,FED FARM CREDIT,1.350,04/21/26,,USD,255,JOINT LEADS,6-NC3MO CONT,BH812167 Corp
04/14,FREDDIE MAC,1.200,04/17/25,,USD,25,INCAP-sole,5-NC3MO BERM,BH811855 Corp
04/14,FED FARM CREDIT,1.330,04/21/27,,USD,125,JOINT LEADS,7-NC2 CONT,BH811186 Corp
04/14,FED FARM CREDIT,1.500,04/22/30,,USD,35,MS-sole,10-NC    INC,BH803564 Corp
04/14,CPPIB CAPITAL,0.750,10/21/22,,USD,300,DB-sole,144A,BH808280 Corp
04/14,FED HOME LN BANK,1.875,04/22/30,,USD,75,"BCLY,WFS",10-NC9MOCONT,BH808204 Corp
04/14,FARMER MAC,0.720,04/20/22,,USD,35,"JEFF,WFS",2-NC3MO BERM,BH808172 Corp
04/14,FED HOME LN BANK,1.820,04/23/29,,USD,65,"BCLY,WFS",9-NC6MO CONT,BH808116 Corp
04/14,FARMER MAC,0.625,10/20/21,,USD,18,JOINT LEADS,1.5-NC3MBERM,BH808033 Corp
04/14,FED FARM CREDIT,1.470,04/14/27,,USD,265,JOINT LEADS,7-NC1 CONINC,BH644883 Corp
04/14,FREDDIE MAC,0.600,10/14/22,,USD,75,FHN-sole,2.5-NC6MOINC,BH786338 Corp
04/14,BURLINGTON STORE,2.250,04/15/25,,USD,805,JOINT LEADS,04/16/20,BH800290 Corp
04/14,NATERA INC,2.250,05/01/27,,USD,287.5,JOINT LEADS,04/16/20,BH787286 Corp
04/14,SABRE GLBL INC,4.000,04/15/25,,USD,345,"BofA,GS,MS",04/16/20,BH798192 Corp
04/13,SABRE GLBL INC,9.250,04/15/25,+880,USD,775,"BofA,GS,MS",5C CONT 144A,BH786066 Corp
04/13,BURLINGTON,6.250,04/15/25,,USD,300,JOINT LEADS,5C CONT 144A,BH786079 Corp
04/13,CINEMARK USA,8.750,05/01/25,+832,USD,250,JOINT LEADS,5C CONT 144A,BH786072 Corp
04/13,TRANSDIGM INC,6.250,03/15/26,+361,USD,4.4B,JOINT LEADS,INCREASE,AW959806 Corp
04/13,EXXON MOBIL CORP,3.452,04/15/51,+205,USD,2.75B,JOINT LEADS,31C CONT,BH786062 Corp
04/13,EXXON MOBIL CORP,2.992,03/19/25,+225,USD,2.75B,JOINT LEADS,INCREASE,BG986278 Corp
04/13,INT DEV FIN CORP,FRN,04/20/35,,USD,14.6,STFL-sole,12 04/15/20,BH786365 Corp
04/13,EXXON MOBIL CORP,4.227,03/19/40,+250,USD,2B,JOINT LEADS,INCREASE,BG986281 Corp
04/13,EXXON MOBIL CORP,1.571,04/15/23,+125,USD,2.75B,JOINT LEADS,04/15/20,BH786060 Corp
04/13,EXXON MOBIL CORP,2.610,10/15/30,+185,USD,2B,JOINT LEADS,10C CONT,BH786061 Corp
04/13,FED FARM CREDIT,2.350,04/16/35,,USD,150,"FHN,JPM,MS",15-NC1   INC,BH645873 Corp
04/13,FED FARM CREDIT,1.900,04/15/30,,USD,190,"FHN,JPM,MS",10-NC1   INC,BH645776 Corp
04/13,GEN ELECTRIC CO,3.625,05/01/30,+290,USD,1.25B,JOINT LEADS,10C CONT,BH786100 Corp
04/13,GEN ELECTRIC CO,3.450,05/01/27,+285,USD,1000,JOINT LEADS,7C CONT,BH786099 Corp
04/13,GEN ELECTRIC CO,4.250,05/01/40,+290,USD,1.5B,JOINT LEADS,20C CONT,BH786101 Corp
04/13,FANNIE MAE,1.000,04/21/25,,USD,15,"BB&T,RBCCM",5-NC9MO BERM,BH786354 Corp
04/13,ESSENTIAL UTIL,3.351,04/15/50,+195,USD,600,"PNC,RBCCM",30C CONT,BH786110 Corp
04/13,ESSENTIAL UTIL,2.704,04/15/30,+195,USD,500,"PNC,RBCCM",10C CONT,BH786109 Corp
04/13,WALGREENS BOOTS,3.200,04/15/30,+245,USD,500,JOINT LEADS,10C CONT,BH786091 Corp
04/13,WALGREENS BOOTS,4.100,04/15/50,+270,USD,1000,JOINT LEADS,30C CONT,BH786092 Corp
04/13,MASS MUTUAL LIFE,3.375,04/15/50,+200,USD,700,"BofA,CS,JPM",144A 99.588,BH786089 Corp
04/13,ADVANCE AUTO PAR,3.900,04/15/30,+320,USD,500,"ABN,JPM,SUN",10C CONT,BH786086 Corp
04/13,FERRELLGAS LP,10.000,04/15/25,+955,USD,700,JPM-sole,INCREASE,BH630788 Corp
04/13,EXPORT DEV CAN,FRN,07/20/21,,USD,250,BMO-sole,144A,BH786235 Corp
04/13,FREDDIE MAC,0.625,04/20/22,,USD,75,JOINT LEADS,2-NC6MO  INC,BH786141 Corp
04/13,MCCORMICK,2.500,04/15/30,+180,USD,500,JOINT LEADS,10C CONT,BH786095 Corp
04/13,FREDDIE MAC,1.000,01/21/25,,USD,35,JOINT LEADS,4.75-NC6MBER,BH786231 Corp
04/13,FREDDIE MAC,0.850,01/19/24,,USD,25,JOINT LEADS,3.75-NC6MBER,BH786229 Corp
04/13,FED FARM CREDIT,1.150,10/21/24,,USD,310,JOINT LEADS,4.5-NC3MCONT,BH786189 Corp
04/13,FED FARM CREDIT,0.875,10/20/22,,USD,360,JOINT LEADS,2.5-NC3MCONT,BH786184 Corp
04/13,FED HOME LN BANK,1.375,04/24/26,,USD,70,BCLY-sole,6-NC3MO CONT,BH786171 Corp
04/13,FED FARM CREDIT,0.550,10/20/21,,USD,445,JOINT LEADS,1.5-NC6MCONT,BH786167 Corp
04/13,FED HOME LN BANK,1.400,04/27/27,,USD,5,NOM-sole,7-NC1 CONT,BH786166 Corp
04/09,PRIME NOTES,VAR,04/13/23,,USD,40,N/A,3C CONT Q1-1,BH768352 Corp
04/09,FED HOME LN BANK,1.875,06/11/21,,USD,960.43,HSBC-sole,INCREASE,EJ224786 Corp
04/09,FARMER MAC,FRN,04/24/26,,USD,25,CASOAK-sole,04/24/20,BH762983 Corp
04/09,FARMER MAC,0.720,04/20/23,,USD,10,STFL-sole,3-NC1 1X,BH760889 Corp
04/09,FARMER MAC,0.850,04/22/24,,USD,6,RJA-sole,4-NC2 1X,BH754112 Corp
04/09,BROOKFIELD FIN,4.350,04/15/30,+362.5,USD,750,JOINT LEADS,INCREASE,BH647317 Corp
04/09,HEALTH CATALYST,2.500,04/15/25,,USD,230,"GS,JPM,WBC",04/14/20,BH749681 Corp
04/09,BOOKING HLDS INC,0.750,05/01/25,,USD,862.5,JOINT LEADS,04/14/20,BH744396 Corp
04/09,ASIAN DEV BANK,1.625,01/24/23,,USD,2.4B,BNPP-sole,INCREASE,ZP490841 Corp
04/09,INT BK RECON&DEV,1.875,10/07/22,+14.15,USD,1.45B,DB-sole,INCREASE,QJ038623 Corp
04/08,NORDSTROM INC,8.750,05/15/25,+828,USD,600,JOINT LEADS,5C CONT 144A,BH692552 Corp
04/08,BON SECOURS HLTH,3.464,06/01/30,+270,USD,389.68,JPM,10C CONT,BH703922 Corp
04/08,BAYCARE HEALTH,2.695,11/15/23,+235,USD,21.28,"JPM,MS",2020,BH599087 Corp
04/08,BAYCARE HEALTH,2.460,11/15/20,+220,USD,27.25,"JPM,MS",2020,BH595943 Corp
04/08,NEW YORK LIFE,3.750,05/15/50,+240,USD,1.25B,JOINT LEADS,30C CONT,BH692940 Corp
04/08,BOOKING HLDS INC,4.500,04/13/27,+387.5,USD,750,JOINT LEADS,7C CONT,BH693449 Corp
04/08,BOOKING HLDS INC,4.100,04/13/25,+362.5,USD,1000,JOINT LEADS,5C CONT,BH693447 Corp
04/08,BAYCARE HEALTH,2.610,11/15/22,+235,USD,26.19,"JPM,MS",2020,BH599023 Corp
04/08,BOOKING HLDS INC,4.625,04/13/30,+387.5,USD,1.5B,JOINT LEADS,10C CONT,BH693450 Corp
04/08,BAYCARE HEALTH,2.560,11/15/21,+230,USD,26.95,"JPM,MS",2020,BH596244 Corp
04/08,BAYCARE HEALTH,3.831,11/15/50,+245,USD,500,"JPM,MS",31C CONT,BH599150 Corp
04/08,AMERICAN WATER,2.800,05/01/30,+210,USD,500,JOINT LEADS,10C CONT,BH697076 Corp
04/08,AMERICAN WATER,3.450,05/01/50,+210,USD,500,JOINT LEADS,30C CONT,BH697077 Corp
04/08,IPALCO ENTPRS IN,4.250,05/01/30,+350,USD,475,JOINT LEADS,10C CONT,BH699143 Corp
04/08,EOG RESOURCES IN,4.375,04/15/30,+362.5,USD,750,JOINT LEADS,10C CONT,BH695158 Corp
04/08,EOG RESOURCES IN,4.950,04/15/50,+362.5,USD,750,JOINT LEADS,30C CONT,BH695159 Corp
04/08,CLEAR CHNL WORLD,9.250,02/15/24,,USD,1.9B,,4C CONT WI,BH715257 Corp
04/08,PRUDENTIAL PLC,3.125,04/14/30,+250,USD,1000,JOINT LEADS,04/14/20,BH689981 Corp
04/08,FREDDIE MAC,0.750,04/20/23,,USD,55,JOINT LEADS,3-NC6MO 1INC,BH642553 Corp
04/08,FREDDIE MAC,0.800,04/20/22,,USD,50,WFS-sole,2-NC6MO  INC,BH711335 Corp
04/08,FREDDIE MAC,STEP,04/17/25,,USD,25,FHN-sole,5-NC3MO BERM,BH710890 Corp
04/08,FREDDIE MAC,STEP,04/17/25,,USD,40,MTBK-sole,5-NC3MO  INC,BH704587 Corp
04/08,FREDDIE MAC,1.200,04/16/25,,USD,25,JOINT LEADS,5-NC6MO BERM,BH708880 Corp
04/08,FREDDIE MAC,1.000,04/21/25,,USD,35,"DADA,RBCCM",5-NC1.5 BERM,BH707885 Corp
04/08,FED FARM CREDIT,1.050,10/16/23,,USD,450,JOINT LEADS,3.5-NC3MCONT,BH706453 Corp
04/08,OMERS FINANCE TR,1.125,04/14/23,+80,USD,1000,JOINT LEADS,144A,BH637553 Corp
04/08,FREDDIE MAC,1.000,01/19/24,,USD,30,JOINT LEADS,3.75-NC6MBER,BH704963 Corp
04/08,FARMER MAC,0.750,04/14/23,,USD,5,OPP-sole,3-NC1 1X,BH704841 Corp
04/08,SHINHAN BANK,FRN,04/24/25,,USD,500,JOINT LEADS,144A,BH678133 Corp
04/08,FREDDIE MAC,1.150,10/16/24,,USD,25,JOINT LEADS,4.5-NC6MBERM,BH703343 Corp
04/08,FED HOME LN BANK,2.320,04/16/35,,USD,29,JOINT LEADS,15-NC1 CONT,BH703067 Corp
04/08,FED HOME LN BANK,1.875,04/16/30,,USD,3,RBCCM-sole,10-NC1 CONT,BH703038 Corp
04/08,FREDDIE MAC,STEP,04/16/25,,USD,25,"INCAP,MSRW",5-NC6MO BERM,BH702380 Corp
04/08,CHIMERA INVSTMNT,7.000,04/01/23,,USD,310.31,CS,04/13/20,BH695250 Corp
04/08,INTERAMER DEV BK,2.250,06/18/29,,USD,2.4B,DB-sole,INCREASE,AZ096174 Corp
04/08,FED HOME LN BANK,1.970,04/29/30,,USD,48,WFS-sole,10-NC6MOCONT,BH649346 Corp
04/07,NCR CORP,8.125,04/15/25,,USD,400,JOINT LEADS,5C CONT 144A,BH638778 Corp
04/07,QATAR STATE OF,3.750,04/16/30,+305,USD,3B,JOINT LEADS,144A 99.81,BH621035 Corp
04/07,QATAR STATE OF,3.400,04/16/25,+300,USD,2B,JOINT LEADS,144A 99.69,BH620950 Corp
04/07,QATAR STATE OF,4.400,04/16/50,+307.9,USD,5B,JOINT LEADS,144A,BH621048 Corp
04/07,WYNN RESORTS FIN,7.750,04/15/25,+725,USD,600,JOINT LEADS,5C CONT 144A,BH636835 Corp
04/07,ARDAGH PKG FIN,5.250,04/30/25,+490,USD,700,CITI-sole,INCREASE,BH560910 Corp
04/07,ROCKEFELLER UNI,3.750,07/01/51,,USD,75.35,BofA,31C CONT,BH669282 Corp
04/07,PHILLIPS 66,3.700,04/06/23,+337.5,USD,500,JOINT LEADS,04/09/20,BH634650 Corp
04/07,KEURIG DR PEPPER,3.800,05/01/50,+250,USD,750,JOINT LEADS,30C CONT,BH631196 Corp
04/07,BAE SYSTEMS PLC,3.400,04/15/30,+275,USD,1.3B,JOINT LEADS,10C CONT,BH632720 Corp
04/07,KEURIG DR PEPPER,3.200,05/01/30,+250,USD,750,JOINT LEADS,10C CONT,BH631195 Corp
04/07,EXPORT DEV CAN,FRN,04/15/21,,USD,100,BMO-sole,04/15/20,BH660712 Corp
04/07,NARRAGANSETT EL,3.395,04/09/30,+265,USD,600,JOINT LEADS,10C CONT,BH637176 Corp
04/07,NISOURCE INC,3.600,05/01/30,+290,USD,1000,JOINT LEADS,10C CONT,BH638500 Corp
04/07,MONDELEZ INT INC,2.125,04/13/23,+185,USD,500,JOINT LEADS,04/13/20,BH640774 Corp
04/07,AVANGRID INC,3.200,04/15/25,+275,USD,750,JOINT LEADS,5C CONT,BH635648 Corp
04/07,CDP FINANCIAL,1.000,04/17/23,+67,USD,2B,JOINT LEADS,144A 99.849,BH586540 Corp
04/07,ESTEE LAUDER CO,2.600,04/15/30,+185,USD,700,JOINT LEADS,10C CONT,BH633613 Corp
04/07,FREDDIE MAC,0.850,10/20/23,,USD,25,JOINT LEADS,3.5-NC6MO 1X,BH659280 Corp
04/07,FREDDIE MAC,1.200,04/16/25,,USD,65,JOINT LEADS,5-NC6MO  INC,BH656037 Corp
04/07,FED HOME LN BANK,2.450,04/16/35,,USD,60,JOINT LEADS,15-NC6MO INC,BH646860 Corp
04/07,FARMER MAC,1.160,04/15/25,,USD,20,"INCAP,VS",5-NC1 BERM,BH657224 Corp
04/07,ONTARIO TEACHERS,1.375,04/15/25,+92.05,USD,1000,JOINT LEADS,144A 99.731,BH589424 Corp
04/07,FED HOME LN BANK,1.180,04/23/25,,USD,82,"BNYM,WFS",5-NC6MO  INC,BH647126 Corp
04/07,BNG BANK NV,0.750,04/17/23,,USD,2B,JOINT LEADS,04/17/20,BH650556 Corp
04/07,AM CASTLE & CO,3.000,08/31/24,,USD,95.13,,03/27/20,BH494470 Corp
04/07,FED HOME LN BANK,2.720,04/14/45,,USD,5,JVB-sole,25-NC1 CONT,BH646856 Corp
04/07,FED HOME LN BANK,1.500,04/28/27,,USD,38,NOM-sole,7-NC6MO CONT,BH646580 Corp
04/07,FREDDIE MAC,1.000,04/16/25,,USD,30,JOINT LEADS,5-NC6MO 1X,BH640640 Corp
04/07,SLACK TECHNOLOGI,0.500,04/15/25,,USD,862.5,JOINT LEADS,04/09/20,BH635047 Corp
04/07,INDONESIA (REP),4.450,04/15/70,+321.8,USD,1000,JOINT LEADS,04/15/20,BH578566 Corp
04/06,INDONESIA (REP),4.200,10/15/50,+296.8,USD,1.65B,JOINT LEADS,04/15/20,BH578564 Corp
04/06,INDONESIA (REP),3.850,10/15/30,+323.2,USD,1.65B,JOINT LEADS,04/15/20,BH578563 Corp
04/06,LIFEPOINT HEALTH,6.750,04/15/25,+632,USD,600,JOINT LEADS,5C CONT 144A,BH587963 Corp
04/06,ALLY FINANCIAL,5.800,05/01/25,+562.5,USD,750,JOINT LEADS,5C CONT,BH591236 Corp
